job_name,岗位划分,最低薪资,最高薪资,平均薪资,薪资等级,最低经验,最高经验,job_edu,学历要求,城市,区,街道,job_company,公司规模
Python工程师,其他,12000.0,14000.0,13000.0,10k-20k,1.0,3.0,本科,2,广州,越秀,梅花村,信必优(深圳)信息技术有限公司广州分公司,5499.5
python,其他,12000.0,16000.0,14000.0,10k-20k,3.0,5.0,本科,2,上海,浦东,唐镇,深圳建广数字科技有限公司青岛分公司,10.0
数据开发工程师（财务业务方面）,数据开发,12000.0,22000.0,17000.0,10k-20k,3.0,5.0,本科,2,上海,宝山,杨行,沈阳东硕信息技术有限公司,5499.5
python开发工程师,其他,12000.0,15000.0,13500.0,10k-20k,3.0,5.0,本科,2,北京,海淀,北下关,北京颢辰科创科技有限公司,10.0
数据开发工程师（基金金融）,数据开发,12000.0,18000.0,15000.0,10k-20k,1.0,3.0,本科,2,上海,浦东,陆家嘴,合肥吾恒信息科技有限公司,199.5
大数据工程师,数据开发,12000.0,16000.0,14000.0,10k-20k,3.0,5.0,本科,2,广州,花都,新雅,中电科普天科技股份有限公司,5499.5
时序数据治理工程师,其他,12000.0,16000.0,14000.0,10k-20k,3.0,5.0,本科,2,上海,浦东,周家渡,华胜(山东)信息科技有限公司,59.5
大数据开发工程师,数据开发,12000.0,16000.0,14000.0,10k-20k,5.0,10.0,大专,1,广州,番禺,南村,亿达信息,5499.5
大数据开发工程师,数据开发,12000.0,14000.0,13000.0,10k-20k,5.0,10.0,本科,2,广州,海珠,琶洲,外企德科,399.5
大数据开发工程师,数据开发,12000.0,16000.0,14000.0,10k-20k,3.0,5.0,本科,2,北京,昌平,史各庄,鑫锡软件(朝阳)有限公司,59.5
数据开发工程师（广州）,数据开发,12000.0,17000.0,14500.0,10k-20k,3.0,5.0,本科,2,广州,天河,冼村,武汉宝信信息技术有限公司,199.5
大数据开发工程师,数据开发,12000.0,17000.0,14500.0,10k-20k,0.0,,本科,2,广州,天河,冼村,徽通科技集团有限公司,5499.5
大数据开发工程师（周末双休）,数据开发,12000.0,15000.0,13500.0,10k-20k,1.0,3.0,本科,2,广州,天河,冼村,徽通科技集团有限公司,5499.5
python开发工程师,其他,12000.0,18000.0,15000.0,10k-20k,1.0,3.0,本科,2,广州,番禺,南村,左木莲安(广东)数字科技有限公司,59.5
